Word,Definition
bean,fasoľ; bobka
beanstalk,??fasoľ kodorks
bear,ovto
bear,1. kandoms 2. kirdems; cidärdoms
bearable,kandoviks; kirdeviks
beard,sakal
bearing,(machine) podšipnik
bearings,(direction) jonks
beast,idem rakša
beat,vačkoďks
beat,vačkodems; vravtoms
beating,vravtoma
beautiful,mazï; mazïj
beauty,mazïči
beaver,mijav; mija
because,sekskak; (skazujemoj + podležaštej)
become,tejevems
bed,1. udoma tarka 2. (for flowers) pandä
bedding,acavks (alkst-prälkst)
bedroom,udoma nupaľ
bedtime,madema ška
bee,mekš; promo (meď)
beef,skaloń sïveľ; bukań sïveľ
beehive,neške; mekšpizë
beer,pija; šuž veď
beet,jakstere jaksteŕkaj
beetle,unža
beetroot,jakstere jaksteŕkaj
before,1. ikele 2. conj. sede ikele 3. prep. ikele
beg,purnams (kši; jarmak)
beggar,purnïcä
begin,ušodoms
beginner,ušodïcä
beginning,ušodoma
behave,vetäms prä
behavior,präń vetämo
behind,udalo
behind,udalks
behind,udalo
beige,bež
belch,rangstams (jarsamodo meľga)
belief,kemema; oznoma
believable,kemeviks
believe,kemems
believer,kemicä
belittle,a putoms pitne (lomanneń)
bell,bajaga
belligerent,vojnas pravtïcä; vojnas ecicä
belly,peke
belong,kandovoms; ulems (kiń)
belongings,uliparo
below,1. alov 2. alo
below,1. alov 2. alo
belt,karks; kšnań karks
bench,skamika; skamejka
bend,mendäms
beneath,alov; alo
beneath,alov; alo
benefactor,lezëń kandïcä; paroń tejicä
beneficial,lezëń kandïcä
beneficiary,lezëń sajicä
benefit,lezë
benefit,sajems lezë (from kosto)
bent,mendäź
berry,maŕ; jagoda
beside,vaksso
beside,vakss
besides,baška
besides,sede baška
besiege,sajems peŕka; sajems kiŕkss (oš vojnaso)
best,sehte vadrä
bestow,1. kazems 2. maksoms
bet,jarmakoń putoma
bet,putoms jarmak (meze langs)
betray,mijems (jatonteń lomań; mastor)
betrayal,mijema (lomaneń; mastoroń)
better,sede vadrä
between,1. jutks 2. jutkso 3. jutkova
beverage,simemapeľ
beware,vanoms; pelems
beyond,tombalev; tombale
beyond,sede tov
bib,ikeľkske (ejkakšoń jarsamsto)
biblical,Biblijań; Biblijaso
bicycle,lesoped; velosiped
bid,pitneń maksoma (aukcionso)
bid,pitne maksoms (aukcionso)
big,pokš
bigamy,kavto niń kirdema
bike,lesoped; velosiped
bikini,bikini
bilingual,kavto keľsë (kortïcä)
bill,1. sčot 2. (jaksargoń; macejeń) neŕ
billiard,biľjard
billion,milliard
bin,laŕ
bind,sodoms
binder,stavks; papka
binoculars,binoklä
biologist,biolog
biology,biologija
bird,narmoń; narmuń
birth,čačoma
birth certificate,čačomado svideteľstva
birth control,čačtomado vanstoma; čačtomado plan
birthday,čačoma či
birthmark,pazoń tešks
birthplace,čačoma tarka
biscuit,śukoro
bishop,episkop
bit,(piece) pakš; peľks
bitch,(dog) avaka kiska; avaka pine
bite,suskoma
bite,suskoms; porems
bitter,sëpev
bitterness,sëpevči
bizarre,lomań; ačaŕkodeviks
black,raužo
blackberry,veďjinzej
blackbird,raužo tïrdaz
blackboard,raužolaz
blackmail,šantaž
blackmail,tejems šantaž (someone kiń langs)
blackmarket,zakontomo mikšnema
blacksmith,gizaj; kuznec
bladder,jormo; (čuramonačko) puzïŕ
blade,(knife) pšti; ľoza
blame,čumo
blame,čumondoms (for something mezeń kisëjak)
blameless,čumovtomo
bland,rasttomo
blank,(empty) čavo
blanket,odijala; tavadks; veľks
blasphemy,pazoń śudoma
blazer,pindžak; pidžak
bleach,ašolgavtomapeľ
bleach,ašolgavtoms
bleed,(veŕ) čudems
bleeding,vereś čudi (aržosto)
blemish,1. (skin) suksprä; ašoprä 2. (surface; character) asatïks
blend,čovorävks
blend,čovoräms
bless,čanstäms; oznovtoms
blessing,čansť
blind,sokor
blindfold,gurämka
blindness,sokorči
blink,končtams; končtnems
blister,puvoŕks
blizzard,kandïlov
bloated,puvatoź
block,1. lotkavtoma 2. kubik 3. sädo metra
block,lotkavtoms
blockade,pirämo
blonde,ašoprä; ašaŕkaj
blood,veŕ
bloodshed,vereń valoma
bloody,verev; veŕ potso
blossom,(čuvtopräso) pančt
blouse,bluza
blow,puvams
blubber,kitëń kuja
blue,sëń
blueberry,pičečulä (maŕ)
blunt,noška (pejeľ)
blush,jaksteŕgadoms (vizdemado)
blushing,jaksteŕgalicä
board,(wood) laz
board,kuzems (ship; aircraft inevenčs; meneľvenčs)
boast,šnams prä
boastful,präń šnïcä
boat,venč
bodily,rungoń
body,rungo
body guard,rungovanstï; vanstïcä
bog,lïmbimoda
boil,lakams
boiler,bojler
bold,apelicä
bolt,bolt; špingalet (kenkšsë)
bomb,bomba
bomb,jortoms bomba; bombams
bomber,bombardirovštik
bombing,bombamo
bond,(together) pedävtoma
bondage,ureksči
bone,lovaža
bone marrow,lovaža udem
bonnet,(car) kapot
bonus,bonus
book,kiniga; kniga; stavks
bookcase,ginigań lango
bookkeeper,buhgalter
booklet,kinigine
bookshop,kinigań lavka
bookstore,k inigań lavka
boost,kepedema
boost,kuztems; kepedems
boot,1. (car) bagažnik 2. (footwear) kem
border,granicä (mastor)
bore,moľstäms meľ
boredom,nalkstavoma
boring,meleń moľsticä
born,čačoms (jutaź škaso)
borrow,sajems velävtomga
boss,prävt; azor; pokš
bossy,azorgalicä
botany,botanika
both,kavonenek;kavonenk; kavonest
both,kavonenek; kavonenk; kavonest
bother,meľsaparo
bother,javoms tevstë; mešams
bottle,sulika
bottom,potmaks
bottomless,potmakstomo
boulder,dikoj kev
bounce,ťokajems
boundary,čeŕks; meža
boundless,pevteme
bow,1. (ribbon) bant 2. (weapon) nalčiŕke
bow,śukonäms
bowl,vakan
box,pargo; jaštik
boxer,bokśor
boxing,boks
boy,ćorïne
boyfriend,aluž; odnasum; ćorajalga
bra,poteń kirdemat
brace,(technical) neže; pinks
bracelet,keďks
bracket,(letter) kvadratnoj skobka
brag,šnams prä (pek)
braid,kodavks
braid,kodams
brain,präudem
brainwash,manipulirovams (arsemaso; lomansë)
brake,tormoz
brake,lotkavtoms
branch,(tree) tarad
brand,1. (animal) tavro; tešks (rakša) 2. (product) sort
brand,teškstams (rakša)
brandy,brendi
brass,piže (metal)
brave,apelicä
bravery,apelema
bread,kši
